Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Europe,All,Intrusion symptoms,NA,no,2225,23,27,54,0.14,"[0.03, 0.26]",NA,2.423938,0.015353
North america,All,Intrusion symptoms,NA,no,655,5,5,9,0.04,"[-0.22, 0.31]",NA,0.297538,0.766056
Online,All,Intrusion symptoms,NA,no,293,1,1,1,0.14,"[-0.43, 0.71]",NA,0.488604,0.625122
Moderation Analysis: Continent,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,10.139,NA,0.071
Asia,All,Intrusion symptoms,NA,yes,300,3,4,4,0.42,"[0.12, 0.73]",NA,2.717158,0.006585
Australia,All,Intrusion symptoms,NA,yes,1138,15,16,26,-0.05,"[-0.20, 0.09]",NA,-0.710124,0.477628
Australia/europe,All,Intrusion symptoms,NA,yes,74,1,1,2,0,"[-0.56, 0.55]",NA,-0.001232,0.999017
Europe,All,Intrusion symptoms,NA,yes,2225,23,27,53,0.16,"[0.05, 0.26]",NA,2.913143,0.003578
North america,All,Intrusion symptoms,NA,yes,655,5,5,9,0.03,"[-0.21, 0.27]",NA,0.244165,0.807103
Online,All,Intrusion symptoms,NA,yes,293,1,1,1,0.14,"[-0.32, 0.60]",NA,0.603253,0.54634
Moderation Analysis: MeanAge,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,2.49,NA,0.115
MeanAge,All,Intrusion symptoms,NA,no,4447,46,53,96,0.02,"[-0.00, 0.05]",NA,1.578002,0.114565
Moderation Analysis: MeanAge,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,1.595,NA,0.207
MeanAge,All,Intrusion symptoms,NA,yes,4402,45,52,91,0.01,"[-0.01, 0.04]",NA,1.263093,0.206556
Moderation Analysis: FemaleRatio,All,Intrusion symptoms,NA,no,NA,NA,NA,NA,NA,NA,0.731,NA,0.393
FemaleRatio,All,Intrusion symptoms,NA,no,4730,48,55,100,-0.23,"[-0.76, 0.30]",NA,-0.854908,0.392602
Moderation Analysis: FemaleRatio,All,Intrusion symptoms,NA,yes,NA,NA,NA,NA,NA,NA,0.439,NA,0.508
FemaleRatio,All,Intrusion symptoms,NA,yes,4685,47,54,95,-0.16,"[-0.65, 0.32]",NA,-0.662695,0.507526
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,1.659,NA,0.436
Behavioural,All,Intrusion-related distress,NA,no,4810,53,58,122,0.04,"[-0.03, 0.12]",NA,1.09416,0.273885
Neuromodulation,All,Intrusion-related distress,NA,no,118,1,1,2,-0.32,"[-0.87, 0.23]",NA,-1.132504,0.257423
Pharmacological,All,Intrusion-related distress,NA,no,861,8,8,12,0.06,"[-0.14, 0.26]",NA,0.583336,0.559667
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,2.213,NA,0.331
Behavioural,All,Intrusion-related distress,NA,yes,4705,51,56,119,0.05,"[-0.02, 0.12]",NA,1.442771,0.149085
Neuromodulation,All,Intrusion-related distress,NA,yes,118,1,1,2,-0.32,"[-0.80, 0.16]",NA,-1.297454,0.194475
Pharmacological,All,Intrusion-related distress,NA,yes,861,8,8,11,0.03,"[-0.15, 0.21]",NA,0.349446,0.726754
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,1.051,NA,0.902
Emotion,All,Intrusion-related distress,NA,no,975,13,13,26,0.07,"[-0.12, 0.25]",NA,0.714652,0.474824
Imagery,All,Intrusion-related distress,NA,no,1947,19,20,31,0.06,"[-0.09, 0.21]",NA,0.740269,0.459137
Imagery + verbal,All,Intrusion-related distress,NA,no,289,2,3,3,-0.05,"[-0.44, 0.34]",NA,-0.250833,0.801943
Verbal,All,Intrusion-related distress,NA,no,1031,12,13,31,-0.03,"[-0.21, 0.14]",NA,-0.355307,0.72236
Verbal + imagery,All,Intrusion-related distress,NA,no,200,2,2,2,0.09,"[-0.40, 0.58]",NA,0.358545,0.719936
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,2.516,NA,0.642
Emotion,All,Intrusion-related distress,NA,yes,936,12,12,25,0.14,"[-0.02, 0.30]",NA,1.733499,0.083007
Imagery,All,Intrusion-related distress,NA,yes,1881,18,19,30,0.04,"[-0.09, 0.17]",NA,0.553199,0.580127
Imagery + verbal,All,Intrusion-related distress,NA,yes,289,2,3,3,-0.06,"[-0.42, 0.31]",NA,-0.29597,0.767253
Verbal,All,Intrusion-related distress,NA,yes,1031,12,13,30,-0.02,"[-0.17, 0.13]",NA,-0.318765,0.749904
Verbal + imagery,All,Intrusion-related distress,NA,yes,200,2,2,2,0.07,"[-0.40, 0.54]",NA,0.277548,0.781359
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.807,NA,0.848
Direct,All,Intrusion-related distress,NA,no,2212,23,24,54,0.02,"[-0.10, 0.15]",NA,0.399789,0.689312
Direct + indirect,All,Intrusion-related distress,NA,no,455,4,5,8,-0.06,"[-0.32, 0.21]",NA,-0.418676,0.675453
Indirect,All,Intrusion-related distress,NA,no,2494,30,33,56,0.06,"[-0.05, 0.17]",NA,1.135268,0.256263
Indirect + direct,All,Intrusion-related distress,NA,no,200,2,2,4,-0.01,"[-0.41, 0.40]",NA,-0.026772,0.978641
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.727,NA,0.867
Direct,All,Intrusion-related distress,NA,yes,2107,21,22,51,0.05,"[-0.06, 0.16]",NA,0.896679,0.36989
Direct + indirect,All,Intrusion-related distress,NA,yes,455,4,5,8,-0.05,"[-0.29, 0.20]",NA,-0.368827,0.712256
Indirect,All,Intrusion-related distress,NA,yes,2494,30,33,56,0.06,"[-0.04, 0.16]",NA,1.236799,0.216162
Indirect + direct,All,Intrusion-related distress,NA,yes,200,2,2,4,0,"[-0.38, 0.38]",NA,0.002441,0.998052
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.537,NA,0.764
Instruction,All,Intrusion-related distress,NA,no,883,9,9,15,-0.03,"[-0.24, 0.18]",NA,-0.273869,0.784186
Task,All,Intrusion-related distress,NA,no,4277,48,53,104,0.04,"[-0.04, 0.13]",NA,1.071331,0.284021
Task+instruction,All,Intrusion-related distress,NA,no,120,1,1,3,0.09,"[-0.40, 0.58]",NA,0.36482,0.715246
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,1.029,NA,0.598
Instruction,All,Intrusion-related distress,NA,yes,883,9,9,15,-0.04,"[-0.24, 0.15]",NA,-0.427315,0.66915
Task,All,Intrusion-related distress,NA,yes,4172,46,51,101,0.06,"[-0.02, 0.13]",NA,1.541326,0.123237
Task+instruction,All,Intrusion-related distress,NA,yes,120,1,1,3,0.1,"[-0.35, 0.54]",NA,0.428633,0.66819
Moderation Analysis: TraumaStimuliType,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,23.024,NA,0
Audio,All,Intrusion-related distress,NA,no,101,2,2,5,-0.21,"[-0.63, 0.22]",NA,-0.955178,0.339488
Computer crash,All,Intrusion-related distress,NA,no,39,1,1,1,-1.86,"[-2.70, -1.02]",NA,-4.34812,0.000014
Film,All,Intrusion-related distress,NA,no,5334,56,61,127,0.05,"[-0.02, 0.11]",NA,1.363782,0.172636
Picture,All,Intrusion-related distress,NA,no,216,2,2,3,0.3,"[-0.06, 0.66]",NA,1.616681,0.105947
Moderation Analysis: TraumaStimuliType,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,3.762,NA,0.152
Audio,All,Intrusion-related distress,NA,yes,101,2,2,5,-0.21,"[-0.62, 0.19]",NA,-1.017904,0.308723
Film,All,Intrusion-related distress,NA,yes,5268,55,60,124,0.04,"[-0.03, 0.10]",NA,1.168186,0.242732
Picture,All,Intrusion-related distress,NA,yes,216,2,2,3,0.3,"[-0.04, 0.64]",NA,1.74524,0.080943
Moderation Analysis: ComparisonType,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.268,NA,0.604
Experimental task,All,Intrusion-related distress,NA,no,3643,39,42,83,0.05,"[-0.04, 0.14]",NA,1.148112,0.250922
No-task,All,Intrusion-related distress,NA,no,2047,22,24,53,0.01,"[-0.11, 0.13]",NA,0.210148,0.833552
Moderation Analysis: ComparisonType,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.072,NA,0.788
Experimental task,All,Intrusion-related distress,NA,yes,3577,38,41,80,0.03,"[-0.04, 0.11]",NA,0.866673,0.386121
No-task,All,Intrusion-related distress,NA,yes,2008,21,23,52,0.05,"[-0.05, 0.16]",NA,0.981345,0.326422
Moderation Analysis: StudyDesign,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.088,NA,0.766
Between-subject,All,Intrusion-related distress,NA,no,5542,59,64,133,0.04,"[-0.04, 0.11]",NA,0.972262,0.33092
Within-subject,All,Intrusion-related distress,NA,no,148,2,2,3,0.09,"[-0.28, 0.46]",NA,0.494473,0.620972
Moderation Analysis: StudyDesign,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.106,NA,0.744
Between-subject,All,Intrusion-related distress,NA,yes,5437,57,62,129,0.04,"[-0.03, 0.10]",NA,1.187535,0.235017
Within-subject,All,Intrusion-related distress,NA,yes,148,2,2,3,0.09,"[-0.22, 0.41]",NA,0.575858,0.564711
Moderation Analysis: ModeOfMeasurement,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,5.039,NA,0.081
Intrusion diary,All,Intrusion-related distress,NA,no,4941,54,59,100,0.05,"[-0.02, 0.13]",NA,1.445993,0.148179
Lab-based intrusion monitoring task,All,Intrusion-related distress,NA,no,616,7,8,19,0.08,"[-0.09, 0.24]",NA,0.887272,0.374932
Self-report questionnaire,All,Intrusion-related distress,NA,no,750,7,7,17,-0.14,"[-0.32, 0.04]",NA,-1.572698,0.115789
Moderation Analysis: ModeOfMeasurement,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,4.107,NA,0.128
Intrusion diary,All,Intrusion-related distress,NA,yes,4836,52,57,97,0.05,"[-0.01, 0.12]",NA,1.528462,0.126398
Lab-based intrusion monitoring task,All,Intrusion-related distress,NA,yes,616,7,8,19,0.09,"[-0.07, 0.24]",NA,1.125621,0.260326
Self-report questionnaire,All,Intrusion-related distress,NA,yes,668,6,6,16,-0.11,"[-0.28, 0.06]",NA,-1.303621,0.192363
Moderation Analysis: Time of Administration,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,3.298,NA,0.509
Delayed post,All,Intrusion-related distress,NA,no,419,3,3,7,-0.11,"[-0.41, 0.18]",NA,-0.745608,0.455904
Immediate + delayed post,All,Intrusion-related distress,NA,no,251,3,3,6,-0.13,"[-0.45, 0.20]",NA,-0.750483,0.452964
Immediate post,All,Intrusion-related distress,NA,no,3387,36,40,84,0.06,"[-0.03, 0.15]",NA,1.227663,0.219574
Peri,All,Intrusion-related distress,NA,no,680,8,8,17,-0.03,"[-0.24, 0.18]",NA,-0.282682,0.777421
Pre,All,Intrusion-related distress,NA,no,1034,13,13,22,0.11,"[-0.05, 0.28]",NA,1.3444,0.178819
Moderation Analysis: Time of Administration,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,2.924,NA,0.571
Delayed post,All,Intrusion-related distress,NA,yes,419,3,3,7,-0.11,"[-0.36, 0.14]",NA,-0.867602,0.385612
Immediate + delayed post,All,Intrusion-related distress,NA,yes,251,3,3,5,-0.02,"[-0.33, 0.28]",NA,-0.145502,0.884314
Immediate post,All,Intrusion-related distress,NA,yes,3282,34,38,81,0.06,"[-0.02, 0.14]",NA,1.384549,0.16619
Peri,All,Intrusion-related distress,NA,yes,680,8,8,17,-0.03,"[-0.22, 0.16]",NA,-0.29458,0.768315
Pre,All,Intrusion-related distress,NA,yes,1034,13,13,22,0.1,"[-0.05, 0.25]",NA,1.365095,0.172223
Moderation Analysis: Physio_binary,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.039,NA,0.843
No,All,Intrusion-related distress,NA,no,3726,39,43,88,0.03,"[-0.06, 0.12]",NA,0.726277,0.467669
Yes,All,Intrusion-related distress,NA,no,1964,23,23,48,0.05,"[-0.07, 0.17]",NA,0.781494,0.434512
Moderation Analysis: Physio_binary,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.252,NA,0.616
No,All,Intrusion-related distress,NA,yes,3687,38,42,87,0.05,"[-0.02, 0.13]",NA,1.333697,0.182303
Yes,All,Intrusion-related distress,NA,yes,1898,22,22,45,0.02,"[-0.09, 0.13]",NA,0.345531,0.729695
Moderation Analysis: PublicationStatus,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,1.026,NA,0.311
Published,All,Intrusion-related distress,NA,no,5282,56,61,124,0.05,"[-0.02, 0.12]",NA,1.30389,0.192271
Unpublished,All,Intrusion-related distress,NA,no,408,5,5,12,-0.09,"[-0.34, 0.17]",NA,-0.67907,0.497094
Moderation Analysis: PublicationStatus,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.507,NA,0.477
Published,All,Intrusion-related distress,NA,yes,5177,54,59,121,0.05,"[-0.02, 0.11]",NA,1.429607,0.15283
Unpublished,All,Intrusion-related distress,NA,yes,408,5,5,11,-0.04,"[-0.27, 0.19]",NA,-0.336636,0.736391
Moderation Analysis: Country_RegionofOrigin,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,13.899,NA,0.381
Australia,All,Intrusion-related distress,NA,no,958,10,11,33,0.05,"[-0.11, 0.21]",NA,0.585322,0.558332
Austria,All,Intrusion-related distress,NA,no,84,1,1,1,0.18,"[-0.45, 0.81]",NA,0.554416,0.579294
Belgium/Australia,All,Intrusion-related distress,NA,no,74,1,1,2,0.04,"[-0.55, 0.63]",NA,0.135278,0.892392
China,All,Intrusion-related distress,NA,no,66,1,1,1,0.7,"[0.05, 1.36]",NA,2.098894,0.035826
England,All,Intrusion-related distress,NA,no,988,15,15,30,0.05,"[-0.10, 0.21]",NA,0.652407,0.514139
Germany,All,Intrusion-related distress,NA,no,1540,13,13,22,0.02,"[-0.13, 0.17]",NA,0.205774,0.836967
Hong Kong SAR,All,Intrusion-related distress,NA,no,240,2,3,3,0.27,"[-0.09, 0.62]",NA,1.461021,0.14401
Israel,All,Intrusion-related distress,NA,no,60,1,1,1,0.46,"[-0.21, 1.13]",NA,1.345037,0.178613
Netherlands,All,Intrusion-related distress,NA,no,911,9,11,27,-0.04,"[-0.21, 0.13]",NA,-0.435635,0.663102
New Zealand,All,Intrusion-related distress,NA,no,60,1,1,2,-0.49,"[-1.11, 0.13]",NA,-1.563405,0.117957
Scotland,All,Intrusion-related distress,NA,no,38,1,1,1,-0.14,"[-0.90, 0.63]",NA,-0.345543,0.729686
Sweden,All,Intrusion-related distress,NA,no,41,1,1,3,0.13,"[-0.54, 0.79]",NA,0.375345,0.707404
Switzerland,All,Intrusion-related distress,NA,no,121,2,2,2,0.35,"[-0.13, 0.82]",NA,1.433831,0.15162
USA,All,Intrusion-related distress,NA,no,509,4,4,8,-0.11,"[-0.39, 0.17]",NA,-0.764702,0.444449
Moderation Analysis: Country_RegionofOrigin,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,11.503,NA,0.486
Australia,All,Intrusion-related distress,NA,yes,958,10,11,33,0.05,"[-0.09, 0.18]",NA,0.656132,0.511739
Austria,All,Intrusion-related distress,NA,yes,84,1,1,1,0.18,"[-0.39, 0.75]",NA,0.612392,0.540278
Belgium/Australia,All,Intrusion-related distress,NA,yes,74,1,1,2,0.04,"[-0.48, 0.56]",NA,0.151985,0.879199
England,All,Intrusion-related distress,NA,yes,988,15,15,28,0.06,"[-0.09, 0.20]",NA,0.774952,0.438368
Germany,All,Intrusion-related distress,NA,yes,1540,13,13,22,0.02,"[-0.11, 0.15]",NA,0.227824,0.819783
Hong Kong SAR,All,Intrusion-related distress,NA,yes,240,2,3,3,0.27,"[-0.05, 0.59]",NA,1.641324,0.10073
Israel,All,Intrusion-related distress,NA,yes,60,1,1,1,0.46,"[-0.15, 1.07]",NA,1.468387,0.141999
Netherlands,All,Intrusion-related distress,NA,yes,872,8,10,26,0.03,"[-0.12, 0.18]",NA,0.41237,0.680069
New Zealand,All,Intrusion-related distress,NA,yes,60,1,1,2,-0.49,"[-1.05, 0.06]",NA,-1.735125,0.082719
Scotland,All,Intrusion-related distress,NA,yes,38,1,1,1,-0.14,"[-0.85, 0.58]",NA,-0.36878,0.712292
Sweden,All,Intrusion-related distress,NA,yes,41,1,1,3,0.13,"[-0.48, 0.73]",NA,0.410314,0.681576
Switzerland,All,Intrusion-related distress,NA,yes,121,2,2,2,0.35,"[-0.09, 0.78]",NA,1.572629,0.115805
USA,All,Intrusion-related distress,NA,yes,509,4,4,8,-0.12,"[-0.36, 0.13]",NA,-0.929442,0.35266
Moderation Analysis: Continent,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,7.13,NA,0.129
Asia,All,Intrusion-related distress,NA,no,366,4,5,5,0.38,"[0.10, 0.66]",NA,2.686757,0.007215
Australia,All,Intrusion-related distress,NA,no,1018,11,12,35,0.01,"[-0.14, 0.17]",NA,0.18092,0.85643
Australia/europe,All,Intrusion-related distress,NA,no,74,1,1,2,0.04,"[-0.54, 0.62]",NA,0.138065,0.890189
Europe,All,Intrusion-related distress,NA,no,3723,42,44,86,0.03,"[-0.06, 0.11]",NA,0.6305,0.528368
North america,All,Intrusion-related distress,NA,no,509,4,4,8,-0.11,"[-0.39, 0.17]",NA,-0.790637,0.429156
Moderation Analysis: Continent,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,5.278,NA,0.26
Asia,All,Intrusion-related distress,NA,yes,300,3,4,4,0.31,"[0.03, 0.59]",NA,2.15423,0.031222
Australia,All,Intrusion-related distress,NA,yes,1018,11,12,35,0.02,"[-0.12, 0.15]",NA,0.223698,0.822992
Australia/europe,All,Intrusion-related distress,NA,yes,74,1,1,2,0.04,"[-0.48, 0.56]",NA,0.153493,0.878009
Europe,All,Intrusion-related distress,NA,yes,3684,41,43,83,0.05,"[-0.03, 0.12]",NA,1.15824,0.246766
North america,All,Intrusion-related distress,NA,yes,509,4,4,8,-0.12,"[-0.36, 0.13]",NA,-0.945478,0.344415
Moderation Analysis: MeanAge,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,2.755,NA,0.097
MeanAge,All,Intrusion-related distress,NA,no,5374,58,63,132,0.02,"[-0.00, 0.04]",NA,1.659923,0.09693
Moderation Analysis: MeanAge,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,3.018,NA,0.082
MeanAge,All,Intrusion-related distress,NA,yes,5374,58,63,130,0.02,"[-0.00, 0.04]",NA,1.737249,0.082343
Moderation Analysis: FemaleRatio,All,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,0.746,NA,0.388
FemaleRatio,All,Intrusion-related distress,NA,no,5690,61,66,136,0.16,"[-0.20, 0.53]",NA,0.863671,0.387769
Moderation Analysis: FemaleRatio,All,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,0.202,NA,0.653
FemaleRatio,All,Intrusion-related distress,NA,yes,5585,59,64,132,0.08,"[-0.25, 0.41]",NA,0.449231,0.653265
