Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Delayed post,All,Intrusion frequency,NA,no,1083,9,10,33,0.21,"[-0.02, 0.45]",NA,1.754949,0.079268
Immediate + delayed post,All,Intrusion frequency,NA,no,251,3,3,6,-0.18,"[-0.63, 0.26]",NA,-0.798038,0.424848
Immediate post,All,Intrusion frequency,NA,no,6382,69,80,230,0.22,"[0.13, 0.31]",NA,5.004245,0.000001
Peri,All,Intrusion frequency,NA,no,1595,21,25,59,0.12,"[-0.04, 0.28]",NA,1.426344,0.153769
Peri + immediate post,All,Intrusion frequency,NA,no,67,1,1,1,-0.51,"[-1.35, 0.33]",NA,-1.197819,0.230988
Pre,All,Intrusion frequency,NA,no,1360,19,20,39,0.03,"[-0.15, 0.20]",NA,0.293601,0.769063
Pre + peri,All,Intrusion frequency,NA,no,108,1,1,2,-0.24,"[-0.99, 0.52]",NA,-0.60839,0.542929
Moderation Analysis: Time of Administration,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,12.836,NA,0.046
Delayed post,All,Intrusion frequency,NA,yes,1083,9,10,31,0.16,"[-0.04, 0.37]",NA,1.554446,0.120078
Immediate + delayed post,All,Intrusion frequency,NA,yes,251,3,3,6,-0.18,"[-0.56, 0.21]",NA,-0.888084,0.374495
Immediate post,All,Intrusion frequency,NA,yes,6313,67,78,223,0.23,"[0.15, 0.30]",NA,5.895476,0
Peri,All,Intrusion frequency,NA,yes,1557,21,24,56,0.18,"[0.03, 0.32]",NA,2.363639,0.018096
Peri + immediate post,All,Intrusion frequency,NA,yes,67,1,1,1,-0.51,"[-1.26, 0.23]",NA,-1.344713,0.178718
Pre,All,Intrusion frequency,NA,yes,1360,19,20,37,0.04,"[-0.11, 0.20]",NA,0.527336,0.59796
Pre + peri,All,Intrusion frequency,NA,yes,108,1,1,2,-0.24,"[-0.89, 0.42]",NA,-0.703347,0.48184
Moderation Analysis: Physio_binary,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.369,NA,0.242
No,All,Intrusion frequency,NA,no,7810,89,105,302,0.18,"[0.10, 0.26]",NA,4.572327,0.000005
Yes,All,Intrusion frequency,NA,no,2955,32,34,68,0.09,"[-0.05, 0.23]",NA,1.239239,0.215257
Moderation Analysis: Physio_binary,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,1.558,NA,0.212
No,All,Intrusion frequency,NA,yes,7703,87,102,290,0.19,"[0.12, 0.26]",NA,5.491198,0
Yes,All,Intrusion frequency,NA,yes,2955,32,34,66,0.1,"[-0.02, 0.23]",NA,1.684099,0.092163
Moderation Analysis: PublicationStatus,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,0.317,NA,0.573
Published,All,Intrusion frequency,NA,no,10049,110,128,338,0.17,"[0.09, 0.24]",NA,4.558327,0.000005
Unpublished,All,Intrusion frequency,NA,no,716,10,11,32,0.09,"[-0.15, 0.34]",NA,0.738743,0.460063
Moderation Analysis: PublicationStatus,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.749,NA,0.387
Published,All,Intrusion frequency,NA,yes,9942,108,125,324,0.18,"[0.12, 0.24]",NA,5.633065,0
Unpublished,All,Intrusion frequency,NA,yes,716,10,11,32,0.08,"[-0.13, 0.30]",NA,0.755014,0.450241
Moderation Analysis: Country_RegionofOrigin,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,16.768,NA,0.333
Australia,All,Intrusion frequency,NA,no,1188,13,14,59,0.01,"[-0.19, 0.22]",NA,0.136333,0.891558
