"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","z","p","Q","tau2.studylevel","tau2.outcomelevel","I2","Q.pval"
"Main Analysis","Decrease","Intrusion frequency","Self-report questionnaire","yes","1291","12","13","24","0.277796159612912"," [0.08, 0.48]","2.71182791683657","0.00669133203631053","52.4416296578974","0.0889083776321908","0.00000000000614288164399826","61.8263599242677","0.000436093831456924"
"Main Analysis","Increase","Intrusion frequency","Self-report questionnaire","no","487","6","6","10","-0.0351448666063435"," [-0.20, 0.13]","-0.42463274937909","0.671104415359367","8.03741934999586","0.00155179914623516","0.000000000000167504663698097","2.33639262023257","0.5303796927189"
"Main Analysis","Increase","Intrusion frequency","Self-report questionnaire","yes","487","6","6","10","-0.0351448666063435"," [-0.20, 0.13]","-0.42463274937909","0.671104415359367","8.03741934999586","0.00155179914623516","0.000000000000167504663698097","2.33639262023257","0.5303796927189"
"Main Analysis","Unspecified","Intrusion frequency","Self-report questionnaire","no","424","4","4","7","-0.0123526867666139"," [-0.34, 0.32]","-0.073860313148648","0.941121535074722","10.4196129402173","0.0745608054093592","0.0000000000148494029256502","54.101912801922","0.108057448445593"
"Main Analysis","Unspecified","Intrusion frequency","Self-report questionnaire","yes","240","3","3","6","0.113972168002406"," [-0.16, 0.39]","0.809922698056598","0.417984605482541","4.0308920161243","0.0180266309284505","0.0000000000037029361017423","18.1118169866796","0.544976887442073"
"Main Analysis","Unspecified","Intrusion frequency",NA,"no","2828","31","32","68","0.0897482837890656"," [-0.01, 0.19]","1.78377043910241","0.0744609748747232","96.7415715906622","0.0359802826796925","0.0000000000670370029714626","32.2265690031022","0.0101569029979007"
"Main Analysis","Unspecified","Intrusion frequency",NA,"yes","2644","30","31","65","0.129281644706489"," [0.04, 0.22]","2.82733547941374","0.00469371268075647","72.3456749604515","0.0200877214389169","0.0000000000154849645258754","20.6083739633099","0.221781717737972"
"Main Analysis","All","Intrusion symptoms",NA,"no","4730","48","55","100","0.0747072164350518"," [-0.01, 0.16]","1.70158615695084","0.0888329743347723","234.103411191715","0.0415006452725327","0.0369372168725173","54.5331094789531","0.000000000000591036972222616"
"Main Analysis","All","Intrusion symptoms",NA,"yes","4685","47","54","95","0.099464210239605"," [0.02, 0.18]","2.48913560087259","0.0128054114484631","164.395809398008","0.0379947938236685","0.00932142204113775","42.3963505664857","0.00000971891961417748"
"Main Analysis","Decrease","Intrusion symptoms",NA,"no","3026","29","35","47","0.218355060413729"," [0.12, 0.32]","4.26571470263612","0.0000199263281785882","73.9919538936529","0.0281133618641529","0.0137041617257192","39.7833121554834","0.00551159970893187"
