Analysis,Prediction,Mechanism-basedCategory,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Moderation Analysis: Time of Administration,All,Imagery,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,1.616,NA,0.656
Delayed post,All,Imagery,Intrusion-related distress,NA,yes,173,1,1,3,-0.11," [-0.54, 0.33]",NA,-0.488666,0.625078
Immediate post,All,Imagery,Intrusion-related distress,NA,yes,1382,14,15,24,0.09," [-0.06, 0.23]",NA,1.178823,0.238468
Peri,All,Imagery,Intrusion-related distress,NA,yes,262,2,2,2,-0.16," [-0.63, 0.31]",NA,-0.6593,0.509703
Pre,All,Imagery,Intrusion-related distress,NA,yes,64,1,1,1,-0.05," [-0.66, 0.56]",NA,-0.150383,0.880462
Moderation Analysis: Time of Administration,All,Other,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,9.019,NA,0.029
Delayed post,All,Other,Intrusion-related distress,NA,no,181,1,1,2,-0.07," [-0.28, 0.14]",NA,-0.657059,0.511143
Immediate post,All,Other,Intrusion-related distress,NA,no,872,11,12,17,0.19," [0.07, 0.31]",NA,3.033237,0.002419
Peri,All,Other,Intrusion-related distress,NA,no,176,3,3,4,-0.15," [-0.47, 0.17]",NA,-0.922818,0.356102
Pre,All,Other,Intrusion-related distress,NA,no,167,2,2,3,-0.12," [-0.39, 0.16]",NA,-0.820575,0.411889
Moderation Analysis: Time of Administration,All,Other,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,9.019,NA,0.029
Delayed post,All,Other,Intrusion-related distress,NA,yes,181,1,1,2,-0.07," [-0.28, 0.14]",NA,-0.657059,0.511143
Immediate post,All,Other,Intrusion-related distress,NA,yes,872,11,12,17,0.19," [0.07, 0.31]",NA,3.033237,0.002419
Peri,All,Other,Intrusion-related distress,NA,yes,176,3,3,4,-0.15," [-0.47, 0.17]",NA,-0.922818,0.356102
Pre,All,Other,Intrusion-related distress,NA,yes,167,2,2,3,-0.12," [-0.39, 0.16]",NA,-0.820575,0.411889
Moderation Analysis: Time of Administration,All,Verbal,Intrusion-related distress,NA,no,NA,NA,NA,NA,NA,NA,6.425,NA,0.04
Immediate + delayed post,All,Verbal,Intrusion-related distress,NA,no,139,2,2,4,-0.41," [-0.71, -0.11]",NA,-2.650862,0.008029
Immediate post,All,Verbal,Intrusion-related distress,NA,no,468,6,7,22,-0.04," [-0.18, 0.10]",NA,-0.519365,0.603506
Peri,All,Verbal,Intrusion-related distress,NA,no,424,4,4,5,0.09," [-0.17, 0.35]",NA,0.650613,0.515296
Moderation Analysis: Time of Administration,All,Verbal,Intrusion-related distress,NA,yes,NA,NA,NA,NA,NA,NA,2.971,NA,0.226
Immediate + delayed post,All,Verbal,Intrusion-related distress,NA,yes,139,2,2,3,-0.3," [-0.66, 0.05]",NA,-1.681438,0.092678
Immediate post,All,Verbal,Intrusion-related distress,NA,yes,468,6,7,22,-0.04," [-0.18, 0.11]",NA,-0.489234,0.624676
Peri,All,Verbal,Intrusion-related distress,NA,yes,424,4,4,5,0.08," [-0.18, 0.35]",NA,0.617331,0.537017
