"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"12.165",NA,"0.002"
"Direct","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","433","5","5","5","0.59"," [0.28, 0.90]",NA,"3.730669","0.000191"
"Direct + indirect","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","637","7","10","14","0.75"," [0.53, 0.98]",NA,"6.561952","0.000000"
"Indirect","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","917","11","12","14","0.24"," [0.04, 0.43]",NA,"2.374227","0.017586"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.254",NA,"0.881"
"Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","178","2","2","2","0.36"," [-0.24, 0.97]",NA,"1.189267","0.234335"
"Task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1660","20","24","30","0.50"," [0.33, 0.67]",NA,"5.794815","0.000000"
"Task vs. Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","149","1","1","1","0.61"," [-0.22, 1.43]",NA,"1.441966","0.149312"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.254",NA,"0.881"
"Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","178","2","2","2","0.36"," [-0.24, 0.97]",NA,"1.189267","0.234335"
"Task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1660","20","24","30","0.50"," [0.33, 0.67]",NA,"5.794815","0.000000"
"Task vs. Instruction","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","149","1","1","1","0.61"," [-0.22, 1.43]",NA,"1.441966","0.149312"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.462",NA,"0.794"
"Audio","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","86","1","1","1","0.74"," [-0.12, 1.60]",NA,"1.694601","0.090151"
"Film","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1850","21","25","31","0.47"," [0.30, 0.64]",NA,"5.493142","0.000000"
"Picture + audio","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","116","2","2","2","0.39"," [-0.22, 0.99]",NA,"1.257696","0.208502"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.462",NA,"0.794"
"Audio","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","86","1","1","1","0.74"," [-0.12, 1.60]",NA,"1.694601","0.090151"
"Film","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1850","21","25","31","0.47"," [0.30, 0.64]",NA,"5.493142","0.000000"
"Picture + audio","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","116","2","2","2","0.39"," [-0.22, 0.99]",NA,"1.257696","0.208502"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.608",NA,"0.436"
"Experimental task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1547","18","21","27","0.44"," [0.26, 0.61]",NA,"4.824570","0.000001"
"No-task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","505","6","7","7","0.58"," [0.26, 0.90]",NA,"3.595142","0.000324"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.608",NA,"0.436"
"Experimental task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1547","18","21","27","0.44"," [0.26, 0.61]",NA,"4.824570","0.000001"
"No-task","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","505","6","7","7","0.58"," [0.26, 0.90]",NA,"3.595142","0.000324"
"Moderation Analysis: StudyDesign","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.588",NA,"0.443"
"Between-subject","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1991","23","27","33","0.46"," [0.30, 0.62]",NA,"5.658379","0.000000"
"Within-subject","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","61","1","1","1","0.76"," [0.01, 1.50]",NA,"1.989570","0.046638"
"Moderation Analysis: StudyDesign","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.588",NA,"0.443"
"Between-subject","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1991","23","27","33","0.46"," [0.30, 0.62]",NA,"5.658379","0.000000"
"Within-subject","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","61","1","1","1","0.76"," [0.01, 1.50]",NA,"1.989570","0.046638"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.696",NA,"0.441"
"Delayed post","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","519","4","5","6","0.32"," [-0.03, 0.67]",NA,"1.816448","0.069302"
"Immediate post","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1108","15","17","21","0.55"," [0.35, 0.75]",NA,"5.484936","0.000000"
"Peri","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","175","2","2","2","0.63"," [0.04, 1.22]",NA,"2.092348","0.036407"
"Pre","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","250","4","4","5","0.25"," [-0.15, 0.66]",NA,"1.220653","0.222218"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.696",NA,"0.441"
"Delayed post","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","519","4","5","6","0.32"," [-0.03, 0.67]",NA,"1.816448","0.069302"
"Immediate post","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1108","15","17","21","0.55"," [0.35, 0.75]",NA,"5.484936","0.000000"
"Peri","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","175","2","2","2","0.63"," [0.04, 1.22]",NA,"2.092348","0.036407"
"Pre","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","250","4","4","5","0.25"," [-0.15, 0.66]",NA,"1.220653","0.222218"
"Moderation Analysis: Physio_binary","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.900",NA,"0.343"
"No","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1541","18","22","28","0.51"," [0.34, 0.69]",NA,"5.722888","0.000000"
"Yes","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","511","6","6","6","0.33"," [0.00, 0.66]",NA,"1.977909","0.047939"
